Date;Team at home;Team away;color
2022-10-30;Guangsha L.;Guangdong ST;(235, 235, 235, 255)
2022-10-28;Guangdong ST;Xinjiang FT;(0, 120, 215, 255)
2022-10-26;Guangdong ST;Ningbo R.;(235, 235, 235, 255)
2022-10-23;Tianjin;Guangdong ST;(235, 235, 235, 255)
2022-10-21;Shanghai S.;Guangdong ST;(0, 120, 215, 255)
2022-10-19;Guangdong ST;Shandong H.;(235, 235, 235, 255)
2022-10-15;Shenzhen L.;Guangdong ST;(235, 235, 235, 255)
2023-01-18;Beijing D.;Zhejiang GB.;(235, 235, 235, 255)
2023-01-16;Fujian S.;Beijing D.;(235, 235, 235, 255)
2023-01-13;Jilin NE T.;Beijing D.;(235, 235, 235, 255)
2023-01-10;Beijing D.;Liaoning FL;(235, 235, 235, 255)
2023-01-08;Beijing D.;Nanjing TX MK;(235, 235, 235, 255)
2023-01-06;Sichuan BW;Beijing D.;(235, 235, 235, 255)
2023-01-04;Beijing RF;Beijing D.;(235, 235, 235, 255)
2023-01-02;Beijing D.;Tianjin;(235, 235, 235, 255)
2022-12-30;Guangdong ST;Beijing D.;(235, 235, 235, 255)
2022-12-27;Liaoning FL;Beijing D.;(235, 235, 235, 255)
2022-12-25;Beijing D.;Sichuan BW;(235, 235, 235, 255)
2022-12-23;Nanjing TX MK;Beijing D.;(235, 235, 235, 255)
2022-12-21;Beijing D.;Jilin NE T.;(235, 235, 235, 255)
2022-12-19;Beijing D.;Fujian S.;(235, 235, 235, 255)
2022-12-17;Tianjin;Beijing D.;(235, 235, 235, 255)
2022-12-15;Zhejiang GB.;Beijing D.;(235, 235, 235, 255)
2022-12-11;Beijing D.;Beijing RF;(235, 235, 235, 255)
2022-12-09;Ningbo R.;Beijing D.;(235, 235, 235, 255)
2022-12-07;Beijing D.;Guangdong ST;(235, 235, 235, 255)
2022-10-29;Beijing D.;Jilin NE T.;(235, 235, 235, 255)
2022-10-27;Beijing D.;Shanxi L.;(235, 235, 235, 255)
2022-10-25;Qingdao E.;Beijing D.;(235, 235, 235, 255)
2022-10-22;Guangzhou LL;Beijing D.;(235, 235, 235, 255)
2022-10-20;Beijing D.;Guangsha L.;(235, 235, 235, 255)
2022-10-18;Beijing D.;Jiangsu D.;(235, 235, 235, 255)
